gene,dux_0h,dux_12h,dux_24h,dux_36h,dux_48h,dux_72h
Gm37945,0.131852286,0.645222241,1.305195062,0.578545587,0.054447137,0.081369622
Gm38253,1.158645082,2.833210461,2.862973973,2.82143157,1.823275426,1.010419985
Gm38258,0.103638586,14.57084335,18.27584568,5.908391586,3.493251805,1.312215337
Gm38271,0.082660838,4.96686889,12.63365011,6.134578786,3.222037547,1.269623381
Gm38342,1.229107364,9.45539596,19.90898598,11.08360166,5.278943588,2.201483735
Gm38403,0.054447137,0.298028182,0.639650107,0.40380893,0.054447137,0.216032642
Gm38407,0.054447137,0.161878846,0.696764714,0.31818724,0.178566874,0.139334588
Gm38642,0.135452944,12.09052015,33.81503116,15.21706913,5.981555337,1.980197162
Gm4011,0.054447137,2.032939273,2.916857746,1.226708198,0.668110371,0.389842376
Gm4027,0.441481943,60.93158854,217.3484897,125.7002632,54.15758859,24.19315951
Gm40331,0.054447137,1.074355096,1.425064897,0.958835256,0.356636472,0.362958776
Gm4081,0.082660838,2.37404787,2.898909879,1.214520785,0.785336943,0.296843676
Gm40848,1.180200597,2.431873065,3.339898841,2.108978855,1.757472562,1.462074658
Gm40879,0.110844041,1.346481584,1.837887082,0.590558271,0.386024608,0.081369622
Gm40910,0.054447137,12.2579914,19.58756641,6.021336224,4.372670511,1.762389144
Gm40987,2.461648875,6.053482913,6.243404902,3.964693674,3.16479868,1.514448071
Gm4130,0.30753189,0.749002238,2.318690821,1.48263532,0.695161881,0.385772545
Gm4131,0.139024181,0.881488497,1.256329732,0.407779155,0.363628297,0.108332241
Gm41409,0.216463669,18.22469008,26.46727708,10.60249442,4.7435808,1.910990032
Gm41654,0.054447137,0.595196231,1.592506229,0.70686282,0.415275943,0.249863421
Gm42662,0.054447137,6.018959783,7.063248326,3.339239322,1.080602326,0.687498317
Gm428,0.07905604,1.597879591,7.776163592,3.79142203,2.673951515,1.045621862
Gm42808,0.07905604,0.51936015,0.942208958,0.419818187,0.234919269,0.166257073
Gm42879,0.054447137,1.056621261,1.25353302,0.636305455,0.724403921,0.443730478
Gm43049,0.07905604,7.44409674,9.547205414,5.98584303,2.661690932,1.165656089
Gm43088,0.233824978,1.635769227,2.986325592,1.548984134,1.166989349,1.123650817
Gm43129,0.103638586,0.856486354,1.084995699,0.865557886,0.573352869,0.162127098
Gm4316,1.525207516,0.294304941,1.862288292,1.451762471,0.864081001,0.439622089
Gm43225,0.07905604,2.505937914,4.268238283,1.599031856,0.64977556,0.466583579
Gm43226,0.054447137,0.301674067,0.581483878,0.287641563,0.266489808,0.16490321
Gm43263,0.082660838,4.674277296,8.295581185,3.393051347,1.49111107,0.989029888
Gm43391,0.054447137,4.074518736,5.383642129,1.979327544,0.816928299,0.385772545
Gm4340,0.297388226,50.9682352,152.8880481,70.85835349,34.04269187,12.25249047
Gm43403,0.262005119,0.788018472,1.559544922,0.892910432,0.510147844,0.330635123
Gm43437,0.322026107,0.902689316,1.664003462,1.44090299,0.489932924,0.439622089
Gm43534,1.113316547,3.450201546,4.439073071,3.843709731,2.642606607,2.155636215
