gene,length,logFC,logCPM,F,PValue,FDR,comp,study,tagComp
Gm38366,1934,0.54436416,-0.098864249,1.442152595,0.239542756,0.332419312,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm48027,3436,0.622206579,-0.399793048,1.441274127,0.23968251,0.332556455,0_vs_24,DuxOE,0_vs_24_DuxOE
9430085M18Rik,1178,0.785879609,-1.078200956,1.441242899,0.23968748,0.332556455,0_vs_24,DuxOE,0_vs_24_DuxOE
Gclc,3766,-0.081297546,5.85954847,1.441207009,0.239693192,0.332556455,0_vs_24,DuxOE,0_vs_24_DuxOE
Phgdh,2486,0.062666625,8.301711872,1.440846229,0.239750621,0.332612261,0_vs_24,DuxOE,0_vs_24_DuxOE
Rax,5846,0.710513394,-0.815218862,1.439905486,0.23990045,0.332796239,0_vs_24,DuxOE,0_vs_24_DuxOE
Thbs1,6073,0.268855092,1.859566494,1.439692406,0.239934403,0.332819456,0_vs_24,DuxOE,0_vs_24_DuxOE
Rbm6,13944,0.078206879,6.04094997,1.43944317,0.239974125,0.332850671,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm43200,2161,-0.820164824,-1.037223056,1.43775759,0.240242982,0.333199676,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm50069,2365,0.900946895,-1.252931007,1.43764564,0.240260852,0.333200555,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm9449,1011,0.588136405,-0.300282447,1.437330567,0.240311155,0.333246408,0_vs_24,DuxOE,0_vs_24_DuxOE
Flicr,3583,0.383823058,0.880115069,1.437156704,0.240338918,0.333261002,0_vs_24,DuxOE,0_vs_24_DuxOE
Zbtb16,5283,-0.953864898,-1.349086279,1.436460133,0.240450192,0.333391382,0_vs_24,DuxOE,0_vs_24_DuxOE
Pdss2,5963,-0.140164213,3.82668087,1.43612168,0.240504281,0.333442463,0_vs_24,DuxOE,0_vs_24_DuxOE
Abt1,4456,0.103789341,4.935399852,1.435299719,0.240635706,0.333600749,0_vs_24,DuxOE,0_vs_24_DuxOE
Pitx1,2656,0.839399044,-1.162687843,1.434923613,0.240695873,0.333660231,0_vs_24,DuxOE,0_vs_24_DuxOE
Eif2b4,2599,-0.095270542,5.204597071,1.433321428,0.240952393,0.333991876,0_vs_24,DuxOE,0_vs_24_DuxOE
Lmln,6511,0.163060772,3.374581997,1.433061441,0.240994051,0.334025669,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm35025,1126,-0.496493368,0.095952179,1.432718446,0.241049024,0.334077579,0_vs_24,DuxOE,0_vs_24_DuxOE
Bcl7b,2404,0.141818388,3.751970331,1.432612125,0.241066067,0.334077579,0_vs_24,DuxOE,0_vs_24_DuxOE
Tecpr2,9553,0.094620592,5.226560606,1.432025723,0.241160096,0.33418393,0_vs_24,DuxOE,0_vs_24_DuxOE
Drd4,3381,-0.406191237,0.735753256,1.431770889,0.241200973,0.334216616,0_vs_24,DuxOE,0_vs_24_DuxOE
Gm15351,848,-0.755964998,-0.959291222,1.430016553,0.241482618,0.33458289,0_vs_24,DuxOE,0_vs_24_DuxOE
4930558J18Rik,2052,-0.21928708,2.846605201,1.42977373,0.241521634,0.334612965,0_vs_24,DuxOE,0_vs_24_DuxOE
