gene,dux_0h,dux_12h,dux_24h,dux_36h,dux_48h,dux_72h
Sap18b,5.330176587,6.992898681,6.003254037,3.113434694,3.599401488,3.759117746
Saxo1,1.03666195,1.37878066,1.339285317,0.850085962,0.546234207,0.358843846
Saysd1,4.092830314,13.15703115,9.948086173,6.576968296,5.741274334,3.051158754
Schip1,3.169507006,3.440929559,2.289780652,2.43939968,1.772861869,1.07292188
Scn1a,0.88483744,1.904850329,1.193762636,1.043938275,0.397502563,0.391250497
Sec22a,11.54984499,21.06851875,18.98255079,13.6510441,10.58820575,6.981391626
Sema7a,10.42358455,11.70438362,10.65618118,10.18243269,4.463177082,4.448521534
Senp8,2.742799964,11.83229064,8.351981104,6.562801937,5.904909914,2.730240561
Serpinb9,0.452086139,0.970569318,0.332196709,0.132157877,0.174025427,0.249863421
Serpine1,4.189961339,4.41478463,3.268080472,2.48223946,1.06533166,0.79918109
Sertad3,6.569323079,11.46015103,6.767811207,6.005594668,4.034098737,2.753559453
Setmar,1.454655059,4.146999655,1.98214178,2.576825502,1.295004392,0.601123906
Setx,121.4365223,211.4539378,124.6776079,95.49365891,70.56397533,69.86815614
Sf3a3,66.52047704,119.2283296,67.52181669,48.96270198,56.22260908,50.63098334
Sf3b6,59.8834976,73.37330317,62.03422433,40.56527574,40.32879941,29.77896841
Sfn,32.63947244,36.77925418,23.21230049,15.5201263,16.1373201,17.47920023
Sfpq,257.3810595,408.760587,340.0262146,234.0644594,170.9966967,171.6506867
Sfrp5,1.739437037,3.722218028,1.397868343,2.07091815,0.972866698,0.986637186
Sgk1,187.549239,324.0748671,203.2467849,87.15472757,57.92546872,49.34162161
Sgk2,1.567511672,3.604719308,1.228843708,1.117715723,1.01985029,0.742607004
Sh3bp5l,19.76883165,40.21582432,30.1330056,23.4515483,12.56171618,9.225950454
Sh3rf2,3.439123352,3.61900419,3.544433862,2.101202431,1.333240393,0.967701916
Shf,1.645293203,9.155208728,7.299846044,3.820088696,3.135663586,2.286517291
Shq1,22.86588906,36.6713955,26.34693368,18.13381001,14.0720408,11.71859432
Sin3a,201.7140458,223.0231879,177.0728993,136.972586,98.75206795,87.76494234
Skida1,0.286506484,1.862690172,0.698105027,0.975205449,0.476161608,0.416753633
Skp1a,319.9475008,323.413092,220.269449,128.1333458,132.9628396,106.4600055
Skp2,54.36483872,60.84626509,52.32574756,40.510302,31.78465352,24.90769295
Slbp,107.3137692,107.9730218,87.13170735,57.78259784,50.57888544,44.50783173
Slc16a13,1.580685277,3.659844133,2.952284926,2.034343306,1.452987388,1.02305793
Slc16a3,84.28531588,151.5764983,59.55646393,15.23741042,8.346950695,8.643133511
Slc16a5,0.423986901,1.268466613,0.41654816,0.20191376,0.426833322,0.109660228
Slc25a12,66.903625,111.7103162,62.75050698,54.12478092,59.78722916,50.28943116
Slc25a18,0.691641155,4.831024292,4.032084529,3.284973845,1.683731187,2.384713407
Slc25a41,0.589679223,0.931417175,0.557927021,0.462239861,0.390624449,0.109660228
Slc26a10,6.919862482,9.633500756,5.670575742,3.229418389,3.08815137,3.937278272
Slc2a1,393.0159472,860.0895456,458.1202459,115.7606716,99.25569504,135.4433577
Slc2a5,1.655672429,5.072266703,3.398710111,3.155782228,1.782602353,1.685707258
Slc2a6,0.610703931,0.824148978,0.700845391,0.438911588,0.083786472,0.109660228
Slc35c1,3.712103554,8.92885577,8.83938205,8.341529233,5.295245398,2.544548107
Slc35f6,5.42760253,16.4099062,16.10480184,12.92893269,9.189416187,6.511547045
Slc40a1,1.923154151,3.188127996,3.059738695,2.49679695,0.665731534,0.44247471
Slc44a5,0.082660838,1.010031826,0.882373643,0.46623959,0.424583142,0.280889205
Slc7a7,24.08816579,66.55986523,49.18058471,40.37196255,27.4553167,29.52801513
Slc9a3r1,61.18102943,127.8818692,64.74148765,34.68732457,26.35721272,29.59172465
Slco2b1,1.651268284,1.978013717,1.090060541,0.50473963,0.205616454,0.13794059
Slfn3,2.542201702,3.912997971,2.289780652,1.844037603,1.277249935,0.77094377
Slfn9,19.31884215,24.06094878,14.94929501,11.59965806,8.636104577,6.685136371
Slx4ip,5.234719695,14.34126278,13.62583442,10.91823634,7.567748058,5.421457064
Smim10l2a,3.264273818,5.654151191,3.871166003,4.608858474,2.876758358,2.423779499
Smim12,18.00930825,25.09992711,19.420779,13.2176317,12.32551478,9.911069001
Smim22,1.469265095,1.965959941,1.170686562,0.536091667,0.756061822,1.016329906
Smim3,2.190350708,3.677235637,2.233573945,1.831665257,1.1484659,1.695626413
Smpdl3b,7.053799663,14.09578254,6.592850072,5.897080482,5.047080553,3.942022488
Smtnl1,5.978294237,6.154644152,5.250226853,3.36879881,2.525123619,1.577996166
Smu1,154.4140478,185.2905579,133.3665113,97.17621112,115.3441324,111.1099233
Snrpb,262.107286,352.2302766,214.308585,147.3822629,166.8948807,152.631875
Snrpd3,208.9461425,225.7501698,176.4975376,108.8455507,123.5744754,100.9259134
Snupn,26.30783972,29.78492629,26.16667182,18.96939765,14.01860654,12.0046896
Snx4,59.44696609,69.26319255,55.20646982,39.75016399,34.87689297,26.4215046
Socs5,2.095033348,6.737259578,5.105657651,3.932576022,3.239517098,1.798807572
Soga3,2.549578283,3.859632112,1.919192455,3.00064506,1.214081543,1.187232066
Sox15,25.36064433,33.39766756,21.1161029,16.82738456,16.97334118,13.31422935
Sox7,0.723507425,2.367096379,1.898447785,1.878854542,1.238444456,0.904103801
Spag1,13.02773743,14.85626964,10.22631991,7.158109385,4.343936817,4.357499185
Spats1,1.897747484,3.512414152,2.932852136,1.949770524,1.88224579,1.382983454
Speer4c,0.054447137,0.70186822,0.669631856,0.326115234,0.176285695,0.109660228
Spg20,15.59344811,21.27575066,17.80526722,14.2147903,9.38702451,7.197884068
Sphk2,2.978479435,16.53707048,13.93863115,11.16267795,7.007920345,4.844591385
Spin2c,3.866348736,4.878317539,3.290660946,2.084992126,1.452987388,0.892428149
Spn,1.947493633,3.449140641,1.455164983,0.737804483,0.507866305,0.585253031
Spr,51.42588159,73.40427137,48.34797864,35.64980737,39.57229974,35.56359115
Spred2,20.02688364,46.62430686,39.70090962,35.84039525,23.83343599,20.60904983
Spry4,3.876177455,45.73740605,10.38281491,7.155923055,5.00793764,5.856346372
Spta1,4.111794532,6.892693803,3.279201841,1.428599937,2.337412679,2.591420918
Srl,14.82107379,33.17463447,22.88792298,14.46921803,9.150682107,7.929455884
Srp54a,38.08124298,45.73220656,33.42577041,21.63948639,23.37706946,22.35564507
Srp54c,26.3359514,37.62307425,24.66088781,17.01727876,16.38933868,16.65326586
Srrt,210.4177044,235.1690106,161.9639772,112.2753197,120.4424055,140.2213036
Ssc4d,4.637119275,8.035528801,5.961617653,5.03427974,3.068486155,1.716461258
Ssh1,9.531872555,20.47406051,16.03330953,19.26623975,13.10490197,14.7103746
Ssh2,14.56070863,27.49334183,22.00709794,19.4776173,12.56679662,10.77124963
St6galnac2,1.507035686,4.358810343,2.447798424,2.276566473,1.841182229,1.902348397
St8sia1,3.862393322,6.484582302,6.158164451,5.41894653,3.280571915,2.443934753
St8sia4,0.663482018,1.202994794,0.670758076,0.46964199,0.144694669,0.082737743
Stambpl1,2.039965901,7.481014489,4.558835213,2.728842664,1.931847477,1.664104158
Stc1,3.798897028,7.050255032,1.44812218,0.20191376,0.086065973,0.054447137
Stc2,4.491041041,27.17463193,24.94740075,19.65946054,14.59093065,9.461323011
Stim2,12.34242652,15.43177345,14.4320675,11.45113821,9.412784901,6.427294164
Stn1,13.07595,24.99001048,16.42195693,9.305348355,7.338985299,7.551432986
Sulf1,14.1260795,26.60880773,17.49882556,13.71959092,11.97632797,10.66731784
Sumo1,186.2641331,213.7833291,149.6526906,97.091406,103.8352343,86.25288332
Syce1,15.12661192,18.57188222,18.42467505,18.02641587,11.48353746,7.901856615
Synj2,6.10373102,8.901203103,6.204589578,5.31902525,3.512184867,5.312599034
Synpo2,1.497819575,4.565560892,4.461668304,3.649726233,1.947502247,2.904406288
Syp,2.429610378,3.15469403,3.002184023,2.939397769,1.841178173,0.929995674
Syt2,1.468890252,3.535320018,1.923249367,1.762693314,0.268756396,0.695649967
Taf1,100.3361408,136.966779,92.76974764,69.92916513,57.09189912,60.21531544
Taf1a,14.15014859,26.33397461,15.28493874,11.48635527,9.02927511,8.644796262
Taf7,61.76378769,114.5085802,88.02789763,54.16164369,38.69513179,25.95249946
Tasor2,21.57859706,49.67400278,40.46212225,31.92634393,23.34554735,26.62229725
Tax1bp1,80.39342139,134.3637678,96.8996134,69.90343518,67.82031794,71.97625393
Tbc1d25,5.094022836,17.38355833,11.60816795,8.868835694,5.960887205,5.371543358
Tbl3,90.15224096,113.2833568,73.48737486,42.89949939,37.86276908,38.4184287
Tcp11l2,5.030151887,6.077411248,5.202858017,3.96000581,2.847630637,1.434862477
Tdgf1,282.4532077,813.9143789,400.7112212,119.7621381,181.9526307,169.4859863
Tdpoz3,0.054447137,22.21070574,20.34721819,8.582674943,4.611054776,3.114521157
Tefm,2.697385539,11.76149869,7.547916694,6.024731743,3.660112108,1.908228485
Terf1,111.658448,130.648417,98.53231442,63.26306061,78.96556875,78.79331817
Tes,37.72794831,39.45370061,39.4378906,25.72514899,16.55807398,14.00086486
Tesk2,4.183020409,10.52281734,7.658977652,5.400338747,3.068486155,2.908215929
Tet1,292.7526073,525.7207373,318.7358255,193.8110501,137.3723081,176.4373854
Tex21,2.862285805,3.861239812,2.869954913,1.013284056,1.029125555,1.098187721
Tfrc,441.8843541,528.1280827,139.7471883,95.10836925,93.83710384,104.7423957
Tgm3,3.436007595,3.847779375,1.656088047,0.555273979,0.670450393,0.875799056
Thap6,2.718070131,11.59286753,6.69324924,5.893704176,3.324619534,3.49932946
Them4,2.900889259,7.599748891,7.534590819,4.87755574,3.483415451,2.501065623
Themis,0.311098732,0.935775829,0.195899198,0.100933356,0.176285695,0.054447137
Thop1,150.4498257,173.100126,115.1014406,88.27986245,87.07385762,92.66474147
Thsd1,2.933136157,8.950603223,3.895488908,2.318585575,0.950278441,0.906944106
Thtpa,3.247727918,5.879145931,4.717429259,4.388382636,3.141056682,2.287761934
Tigar,15.05057158,46.50724803,40.56137508,30.51353425,23.11660426,19.00950959
Timm8a1,18.0088204,28.89240937,21.20469598,16.12240922,14.10988792,9.731427981
Tirap,3.781940506,7.128020027,5.124912189,6.059194043,4.386164893,2.846233179
Tk1,71.68196144,84.85926904,58.56090879,42.73585597,47.30865017,46.66153575
Tlcd1,3.660877461,7.056730922,5.182581369,3.109671275,3.343807402,2.768464503
Tle4,31.39581578,50.35029928,35.66116218,25.49728442,23.3851292,18.86310263
Tlr3,0.420329547,1.046176106,0.637171935,0.734119374,0.149227539,0.054447137
Tmem102,0.930890949,7.818831897,4.111286668,4.66847936,3.246911197,3.049598369
Tmem104,1.72944774,7.094256633,6.720297215,6.311407056,4.804540968,4.452711304
